0,18610,7150,1993,24270,599,20476,5356,9127,19757,12737
1,3257,9915,15880,2915,16954,537,6378,11802,4463,12653
2,3487,19462,17266,15430,8642,10342,2778,22582,19430,12327
3,6027,15202,11553,1069,12468,13723,23979,4396,9909,5027
4,18438,20162,17888,5771,14735,4289,10612,16953,22819,17283
5,13859,19372,11696,11180,648,17081,14890,4400,2745,13874
6,14218,10865,5191,2061,13113,9808,12602,2517,4211,3990
7,14175,7742,20687,9804,16990,13892,11084,6522,322,9143
8,14635,21190,24016,15866,17758,22994,9978,11826,15172,9041
9,2803,19906,22345,12015,6542,14802,20691,12812,1523,6732
10,5012,6143,15637,12468,23979,4658,397,5714,3220,18946
11,10553,5213,17021,11204,13407,6332,3229,19875,4422,20249
12,11874,979,18301,5006,10786,13124,21229,11419,10580,20316
13,3748,17878,7081,22756,9932,10543,14978,17358,18816,7860
14,7336,20748,21508,11941,7901,936,1837,23904,19728,22090
15,23811,13709,1652,14065,16346,18221,13372,19378,9431,21285
16,4763,17638,23067,14669,14005,19732,7353,14117,24132,23282
17,11519,5004,12242,8240,19769,5529,23714,14806,16732,5706
18,8188,6786,1027,6877,2560,3359,22400,16439,14212,1757
19,15152,11559,9688,9440,19172,13263,21647,5522,18399,2424
20,20287,15268,15821,16929,17989,3344,4371,2479,10697,21439
21,18239,12373,1523,2136,19688,18355,16627,12579,23416,19906
22,9411,683,15573,21553,4756,12510,447,19609,7488,899
23,7557,4051,3063,17059,8781,18170,18128,273,1536,4236
24,10621,23619,15482,21666,9354,759,2297,15038,14775,5636
25,10426,8868,10107,14213,7899,16103,17989,9723,3145,180
26,12745,16761,20089,10878,18763,16043,16520,12321,12328,15718
27,14526,6301,11129,2229,1834,9398,368,16470,8341,12793
28,10611,11093,20001,21036,7069,23259,14595,21588,15514,3063
29,23408,3083,24097,7127,23012,18749,5888,5125,21835,7230
30,16434,3514,2516,8452,11611,4176,10799,18712,13989,6869
31,4291,15477,1362,5611,749,4495,1601,1928,8539,18599
32,4198,19612,547,13628,22986,3460,4152,10908,14402,9523
33,22537,14896,23699,7599,17984,19124,3722,8540,14422,2248
34,7248,9274,6410,7206,19388,10220,21547,3586,20295,15125
35,21166,7250,4989,3836,6660,22896,6201,12789,6743,11930
36,17560,9963,6695,1838,6767,7551,5963,20120,4171,1836
37,6070,15471,1162,15275,12208,12549,11250,24013,17369,6450
38,18687,22022,20337,15392,16380,19624,7179,19479,11834,2697
39,14148,21921,3754,21911,21423,22298,13152,20443,7114,775
40,13097,9209,15647,15094,10144,1842,3820,1891,20740,8866
41,16065,22551,9845,256,15076,13247,6030,21311,483,10572
42,4059,14192,13776,11244,15412,10792,5664,11240,17237,14638
43,5752,11207,11922,16005,23728,879,4809,600,23922,3266
44,18199,10854,1771,9725,5879,14206,5810,9394,8255,13373
45,14040,15690,5846,1421,20664,12815,3314,23968,15885,15107
46,8731,16602,21669,10326,15484,21097,1740,15769,12271,20349
47,1846,11384,21104,9570,8249,22165,6038,872,16288,5060
48,15900,20908,12302,9488,8223,9042,18566,8774,2979,572
49,9352,15215,11358,9375,5109,20798,2881,12319,3723,19571
50,1080,17380,2740,4568,9055,1242,8483,17903,9540,24141
51,16018,14809,7381,19448,21872,4200,15234,1359,3745,6892
52,5948,17192,5553,20442,10826,15339,162,5280,18789,3990
53,3953,1843,1582,9586,7003,8471,23530,7160,13466,3794
